City Name, Country,Longitude,Latitude
New Orleans, USA,30.0,90.1
Houston, USA,29.8,96.4
Tampa, USA,28.0,82.5
Miami, USA,25.8,80.2
Corpus Christi, USA,27.8,97.4
Pensacola, USA,30.4,87.2
Mobile, USA,30.7,88.0
Galveston, USA,29.3,94.8
Biloxi, USA,30.4,88.9
Key West, USA,24.6,81.8
Veracruz, Mexico,19.2,96.1
Tampico, Mexico,22.2,97.9
Campeche, Mexico,19.8,90.5
Cancún, Mexico,21.2,86.9
Mérida, Mexico,21.0,89.6
Ciudad del Carmen, Mexico,18.7,91.8
Progreso, Mexico,21.3,89.7
Coatzacoalcos, Mexico,18.1,94.5
Tuxpan, Mexico,21.0,97.4
Havana, Cuba,23.1,82.4
Varadero, Cuba,23.2,81.2
Cienfuegos, Cuba,22.2,80.4
Belize City, Belize,17.5,88.2
George Town, Cayman Islands,19.3,81.4
Nassau, Bahamas,25.0,77.4
